주차장관리번호,주차장명,경도,위도,주차장구분,주차장유형,주차장지번주소,주차장도로명주소,주차구획수
19310,해영주차장(평면식),126.9851293,37.57660099,민영,노외,서울특별시 종로구 안국동 148,서울특별시 종로구 율곡로53,25
19312,이수주차빌딩,126.985119,37.496122,공영주차장,노외,서울특별시 서초구 방배본동761-3,서울특별시 서초구 방배중앙로193,110
19315,청남문화원,126.9847663,37.58043197,민영,노외,서울특별시 종로구 가회동 141-1,서울특별시 종로구 북촌로 39 (가회동),4
19317,한미빌딩옆,126.9846548,37.57230139,공영,노상,서울특별시 종로구 인사동 194-39,서울특별시 종로구 인사동 194-39,10
19324,관훈,126.9842918,37.57555213,민영,노외,서울특별시 종로구 관훈동 112-4,서울특별시 종로구 율곡로 42,79
19332,종각,126.9838992,37.56962713,공영,노상,서울특별시 종로구 관철동 45-6,서울특별시 종로구 종로54-1,13
19333,대신(기계식),126.9838132,37.56925591,민영,노외,서울특별시 종로구 관철동 44-4,서울특별시 종로구 종로 8길 18,44
19335,서인사마당,126.9835859,37.57368157,공영,노외,서울특별시 종로구 견지동 85-18,서울특별시 종로구 인사동11길 19,45
19345,등용문빌딩주차장,126.982762,37.57284893,민영,노외,서울특별시 종로구 견지동 110-46,서울특별시 종로구 우정국로 43 (견지동),16
19348,방배복개도로제1지역,126.982669,37.477835,공영주차장,노상,서울특별시 서초구 방배동 443일대,서울특별시 서초구 동작대로26 일대,73
19349,회현롯데캐슬옆 공영주차장,126.982666,37.558246,공영,노외,서울특별시 중구 회현동2가 88-3,서울특별시 중구 소공로7길 2,27
19354,GS타임즈 인사(S&S),126.9825674,37.57231191,민영,노외,서울특별시 종로구 견지동 101외,서울특별시 종로구 삼봉로 95,46
19355,방배복개도로제2지역,126.982529,37.483097,공영주차장,노상,서울특별시 서초구 방배동 439일대,서울특별시 서초구 동작대로68 일대,85
19357,삼청공원앞,126.9824597,37.58744499,공영,노상,서울특별시 종로구 삼청동 25-1,서울특별시 종로구 삼청로 10길 13,18
19364,한국관광공사옆 공영주차장,126.982034,37.568298,공영,노상,서울특별시 중구 다동 18,서울특별시 중구 남대문로,9
19365,회현롯데캐슬옆 공영주차장,126.982029,37.55883,공영,노외,서울특별시 중구 회현동2가 67,서울특별시 중구 소공로7길 2,27
19366,한국관광공사옆 공영주차장,126.981999,37.568194,공영,노상,서울특별시 중구 다동 85-4,서울특별시 중구 남대문로,9
19367,석파랑,126.9819631,37.58097578,민영,노외,서울특별시 종로구 홍지동 125,"서울특별시 종로구 화동76-2,80",17
19376,끄레아,126.9815642,37.58234162,민영,노외,서울특별시 종로구 통의동 77(80),서울특별시 종로구 삼청로 75,45
19389,독일,126.9809691,37.57195847,민영,노외,서울특별시 종로구 창신1동 525-2,서울특별시 종로구 종로5길 32-9,6
19393,삼청공영,126.9807766,37.58118102,공영,노외,서울특별시 종로구 삼청동 5-2,서울특별시 종로구 삼청동 5-2,27
19394,해운센터앞 공영주차장,126.98067,37.563201,공영,노상,서울특별시 중구 소공동 59,서울특별시 중구 소공로,9
19396,해운센터앞 공영주차장,126.98061,37.564008,공영,노상,서울특별시 중구 소공동 59,서울특별시 중구 소공로,9
19401,다동공원 공영주차장,126.980226,37.56919,공영,노외,서울특별시 중구 다동 39-3,서울특별시 중구 을지로1길 48,15
19402,다동공원 제4 공영주차장,126.980203,37.568192,공영,노외,서울특별시 중구 다동 39-3,서울특별시 중구 을지로1길 48,15
19403,조선호텔앞 공영주차장,126.980109,37.565308,공영,노상,서울특별시 중구 소공동 87,서울특별시 중구 남대문로7길,12
19404,갤러리현대(평면),126.9801074,37.57711562,민영,노외,서울특별시 종로구 사간동 80,서울특별시 종로구 사간동 116,18
19406,다동쉼터 공영주차장,126.980004,37.568907,공영,노상,서울특별시 중구 다동 46,서울특별시 중구 다동길,7
19407,다동쉼터 공영주차장,126.979861,37.567959,공영,노상,서울특별시 중구 다동 46-1,서울특별시 중구 다동길,7
19408,조선호텔앞 공영주차장,126.979837,37.563825,공영,노상,서울특별시 중구 소공동 86-5,서울특별시 중구 남대문로7길,12
19412,서린주차장,126.9796249,37.56973099,민영,노외,서울특별시 종로구 서린동 111-2,서울특별시 종로구 서린동 111-2,20
19416,한국은행뒤 공영주차장,126.979022,37.563111,공영,노상,서울특별시 중구 북창동 93-1,서울특별시 중구 남대문로5길,26
19417,한국은행뒤 공영주차장,126.979021,37.562301,공영,노상,서울특별시 중구 북창동 93-31,서울특별시 중구 남대문로5길,25
19419,열린마당,126.9788853,37.57533865,공영,노상,서울특별시 종로구 중학동 111,서울특별시 종로구 종로1길 55,13
19422,코오롱빌딩옆 공영주차장,126.978426,37.568565,공영,노상,서울특별시 중구 태평로1가 82,서울특별시 중구 세종대로20길,18
19425,코오롱빌딩옆 공영주차장,126.97826,37.567932,공영,노상,서울특별시 중구 태평로1가 29-8,서울특별시 중구 세종대로20길,18
19430,뉴국제호텔앞 공영주차장,126.977995,37.56813,공영,노상,서울특별시 중구 태평로1가 29-5,서울특별시 중구 세종대로22길,19
19433,뉴국제호텔앞 공영주차장,126.977727,37.56912,공영,노상,서울특별시 중구 태평로1가 18,서울특별시 중구 세종대로22길,19
19450,영국대사관옆 공영주차장,126.976228,37.567319,공영,노상,서울특별시 중구 정동 5,서울특별시 중구 세종대로19길,13
19453,영국대사관옆 공영주차장,126.976121,37.566484,공영,노상,서울특별시 중구 정동 5,서울특별시 중구 세종대로19길,13
19456,그린빌딩옆 공영주차장,126.976018,37.557505,공영,노상,서울특별시 중구 남대문로5가 267,서울특별시 중구 소월로,33
19457,그린빌딩옆 공영주차장,126.975945,37.556721,공영,노상,서울특별시 중구 남대문로5가 267,서울특별시 중구 소월로,33
19487,서소문올리브타워옆 공영주차장,126.97299,37.562212,공영,노상,서울특별시 중구 서소문동 135,서울특별시 중구 세종대로9길 41,16
19489,서소문올리브타워옆 공영주차장,126.97276,37.561632,공영,노상,서울특별시 중구 서소문동 135-1,서울특별시 중구 세종대로9길 41,16
19492,남대문피혁상가남측 공영주차장,126.972593,37.559679,공영,노상,서울특별시 중구 봉래동1가 83,서울특별시 중구 세종대로5길,25
