Year,Growth,School,Gender,Value
2015,키,중학교,남자,170
2015,키,중학교,여자,160
2015,몸무게,중학교,남자,65
2015,몸무게,중학교,여자,54
2015,키,고등학교,남자,174
2015,키,고등학교,여자,162
2015,몸무게,고등학교,남자,70
2015,몸무게,고등학교,여자,58
2016,키,초등학교,남자,152
2016,키,초등학교,여자,153
2016,몸무게,초등학교,남자,47
2016,몸무게,초등학교,여자,46
2016,키,중학교,남자,170
2016,키,중학교,여자,160
2016,몸무게,중학교,남자,65
2016,몸무게,중학교,여자,54
2016,키,고등학교,남자,174
2016,키,고등학교,여자,161
2016,몸무게,고등학교,남자,70
2016,몸무게,고등학교,여자,58
2017,키,초등학교,남자,153
2017,키,초등학교,여자,153
2017,몸무게,초등학교,남자,48
2017,몸무게,초등학교,여자,47
2017,키,중학교,남자,171
2017,키,중학교,여자,160
2017,몸무게,중학교,남자,64
2017,몸무게,중학교,여자,54
2017,키,고등학교,남자,174
2017,키,고등학교,여자,161
2017,몸무게,고등학교,남자,72
2017,몸무게,고등학교,여자,58
2018,키,초등학교,남자,152
2018,키,초등학교,여자,153
2018,몸무게,초등학교,남자,49
2018,몸무게,초등학교,여자,46
2018,키,중학교,남자,171
2018,키,중학교,여자,161
2018,몸무게,중학교,남자,65
2018,몸무게,중학교,여자,55
2018,키,고등학교,남자,174
2018,키,고등학교,여자,161
2018,몸무게,고등학교,남자,71
2018,몸무게,고등학교,여자,58
2019,키,초등학교,남자,152
2019,키,초등학교,여자,152
2019,몸무게,초등학교,남자,48
2019,몸무게,초등학교,여자,46
2019,키,중학교,남자,171
2019,키,중학교,여자,161
2019,몸무게,중학교,남자,65
2019,몸무게,중학교,여자,55
2019,키,고등학교,남자,174
2019,키,고등학교,여자,161
2019,몸무게,고등학교,남자,73
2019,몸무게,고등학교,여자,57
2021,키,초등학교,남자,154
2021,키,초등학교,여자,153
2021,몸무게,초등학교,남자,53
2021,몸무게,초등학교,여자,47
2021,키,중학교,남자,172
2021,키,중학교,여자,161
2021,몸무게,중학교,남자,68
2021,몸무게,중학교,여자,55
2021,키,고등학교,남자,174
2021,키,고등학교,여자,162
2021,몸무게,고등학교,남자,72
2021,몸무게,고등학교,여자,59
2022,키,초등학교,남자,154
2022,키,초등학교,여자,154
2022,몸무게,초등학교,남자,52
2022,몸무게,초등학교,여자,47
2022,키,중학교,남자,171
2022,키,중학교,여자,161
2022,몸무게,중학교,남자,67
2022,몸무게,중학교,여자,55
2022,키,고등학교,남자,175
2022,키,고등학교,여자,162
2022,몸무게,고등학교,남자,73
2022,몸무게,고등학교,여자,58
